system,RH,total_water,rh_local_steps,num_segments
Na-LC0.30,0.90,498.6013986,9100000,7
Na-LC0.30,0.30,82.55944056,18000000,9
Na-LC0.30,0.10,65.96703297,6000000,3
Na-LC0.40,0.90,522.9350649,8100000,6
Na-LC0.40,0.30,99.92307692,30000000,14
Na-LC0.40,0.10,82.61438561,2000000,1
Na-LC0.50,0.90,544.6633367,12100000,8
Na-LC0.50,0.30,237.9230769,20000000,10
Na-LC0.50,0.10,105.4975025,12000000,6
