system,RH,total_water,rh_local_steps,num_segments
Na-LC0.40,0.90,522.9350649,8100000,6
Na-LC0.40,0.30,99.92307692,30000000,14
Na-LC0.40,0.10,82.61438561,2000000,1
K-LC0.40,0.90,462.1408591,42100000,24
K-LC0.40,0.30,83.08891109,24000000,12
K-LC0.40,0.10,67.31868132,2000000,1
Ca-LC0.40,0.90,513.8041958,10200000,7
Ca-LC0.40,0.30,179.1048951,16000000,8
Ca-LC0.40,0.10,131.5664336,8000000,4
